id,id_client,billing_period,billing_amount,amount_paid,payment_method
FAC7068,1,2024-06,39940,0,Nequi
FAC6577,2,2024-06,76145,75145,Daviplata
FAC5707,3,2024-06,179217,179217,Daviplata
FAC7188,4,2024-07,52267,51767,Daviplata
FAC7289,5,2024-06,157001,156501,Daviplata
FAC2190,6,2024-07,33428,32428,Nequi
FAC6207,7,2024-07,75801,0,Daviplata
FAC1691,8,2024-07,17870,16870,Nequi
FAC4680,9,2024-06,22294,21794,Nequi
FAC8010,10,2024-06,193307,0,Daviplata
FAC1328,11,2024-07,159093,0,Daviplata
FAC8140,12,2024-06,175018,0,Nequi
FAC4679,13,2024-07,110754,0,Daviplata
FAC3589,14,2024-06,163283,0,Nequi
FAC6122,15,2024-07,22161,22161,Daviplata
FAC4870,16,2024-07,196275,195775,Daviplata
FAC5322,17,2024-06,20824,20824,Nequi
FAC8663,18,2024-07,191634,0,Nequi
FAC4380,19,2024-06,62979,0,Daviplata
FAC5128,20,2024-06,37472,0,Daviplata
FAC7986,21,2024-06,128381,127881,Nequi
FAC7543,22,2024-06,26817,0,Daviplata
FAC7964,23,2024-07,147864,147364,Nequi
FAC1309,24,2024-06,153404,153404,Daviplata
FAC8025,25,2024-07,14710,0,Nequi
FAC8943,26,2024-06,49512,49012,Daviplata
FAC1190,27,2024-07,40302,40302,Daviplata
FAC4264,28,2024-07,27833,27833,Daviplata
FAC1462,29,2024-07,30813,0,Nequi
FAC6381,30,2024-07,134884,134884,Daviplata
FAC8571,31,2024-07,29482,28982,Nequi
FAC7018,32,2024-06,158030,158030,Nequi
FAC4082,33,2024-07,196509,196009,Daviplata
FAC5756,34,2024-06,69026,68526,Daviplata
FAC9278,35,2024-06,166287,0,Nequi
FAC6223,36,2024-06,179265,178265,Nequi
FAC8510,37,2024-07,98069,98069,Nequi
FAC4305,38,2024-06,153650,153150,Nequi
FAC9358,39,2024-06,87402,0,Daviplata
FAC1208,40,2024-07,97457,96457,Nequi
FAC5492,41,2024-07,145586,0,Daviplata
FAC6585,42,2024-07,163925,163425,Nequi
FAC2187,43,2024-07,186218,186218,Nequi
FAC7545,44,2024-07,160000,159000,Daviplata
FAC9699,45,2024-07,94554,94554,Daviplata
FAC2512,46,2024-07,153659,0,Daviplata
FAC1330,47,2024-06,165021,0,Daviplata
FAC9310,48,2024-07,115066,0,Daviplata
FAC9524,49,2024-06,161529,0,Daviplata
FAC7938,50,2024-07,167924,167924,Nequi
FAC8649,51,2024-06,147991,0,Daviplata
FAC4348,52,2024-07,124048,124048,Nequi
FAC9905,53,2024-07,138162,0,Nequi
FAC5210,54,2024-06,161137,161137,Nequi
FAC8033,55,2024-06,35669,0,Daviplata
FAC7850,56,2024-07,68367,0,Nequi
FAC7378,57,2024-07,58242,0,Nequi
FAC3104,58,2024-07,114319,113319,Nequi
FAC2382,59,2024-06,37708,37708,Daviplata
FAC6022,60,2024-07,54969,0,Nequi
FAC3529,61,2024-06,51911,0,Daviplata
FAC1856,62,2024-06,45733,45233,Nequi
FAC5678,63,2024-07,100426,0,Nequi
FAC7474,64,2024-07,32072,31572,Nequi
FAC9956,65,2024-07,123720,0,Nequi
FAC7570,66,2024-06,17171,0,Daviplata
FAC2909,67,2024-06,57259,0,Daviplata
FAC2139,68,2024-07,197548,0,Daviplata
FAC8752,69,2024-06,93635,0,Daviplata
FAC8107,70,2024-07,58585,58585,Daviplata
FAC7475,71,2024-06,87244,0,Daviplata
FAC3660,72,2024-06,55572,0,Nequi
FAC9573,73,2024-06,51213,50713,Nequi
FAC2238,74,2024-06,129980,129480,Nequi
FAC6979,75,2024-06,42157,41657,Daviplata
FAC8740,76,2024-06,127084,0,Daviplata
FAC9872,77,2024-06,191436,0,Nequi
FAC9634,78,2024-06,78561,78561,Nequi
FAC9210,79,2024-06,163844,162844,Nequi
FAC3888,80,2024-07,80735,0,Nequi
FAC7110,81,2024-06,158138,0,Daviplata
FAC5649,82,2024-06,102093,101593,Daviplata
FAC1490,83,2024-07,104241,103741,Daviplata
FAC5439,84,2024-06,41300,0,Daviplata
FAC4962,85,2024-06,90456,0,Daviplata
FAC8801,86,2024-07,165402,165402,Nequi
FAC1904,87,2024-06,107189,106689,Nequi
FAC7503,88,2024-07,23411,22411,Nequi
FAC7561,89,2024-06,11359,11359,Daviplata
FAC5390,90,2024-06,79808,0,Nequi
FAC1760,91,2024-07,43148,42648,Nequi
FAC3395,92,2024-06,102468,0,Daviplata
FAC1926,93,2024-06,116488,0,Daviplata
FAC7521,94,2024-07,61920,0,Daviplata
FAC6693,95,2024-07,142010,141510,Nequi
FAC1513,96,2024-06,39792,39792,Daviplata
FAC3039,97,2024-07,88189,0,Daviplata
FAC3709,98,2024-06,179739,0,Nequi
FAC3914,99,2024-06,106611,0,Daviplata
FAC8875,100,2024-06,142787,141787,Daviplata
